FP(0.00, 0.000020, 339., 1464., 2554.)
FP(0.06, 0.000400, 353., 1420., 2552.)
FP(0.08, 0.002000, 400., 792., 2551.)
FP(0.14, 0.018000, 821., 1166., 2947.)
FP(0.18, 0.022000, 839., 1059., 2649.)
FP(0.20, 0.022000, 935., 1526., 2622.)
FP(0.22, 0.036000, 961., 1646., 2495.)
FP(0.24, 0.072000, 755., 1796., 2595.)
FP(0.30, 0.018000, 519., 2050., 2843.)
FP(0.38, 0.004000, 420., 1779., 2681.)
FP(0.44, 0.004000, 321., 2203., 2836.)
FP(0.54, 0.001000, 308., 2435., 2769.)
FP(0.56, 0.000500, 642., 2499., 3524.)
FP(0.58, 0.000200, 128., 2621., 3593.)
FP(0.60, 0.000200, 1089., 2537., 3763.)
FP(0.62, 0.000200, 1456., 2465., 3848.)
FP(0.64, 0.000800, 272., 2432., 3643.)
FP(0.66, 0.006000, 412., 1431., 2384.)
FP(0.72, 0.019000, 739., 1492., 2412.)
FP(0.82, 0.007000, 396., 1287., 2011.)
FP(0.86, 0.000900, 369., 1043., 2093.)
FP(0.88, 0.000300, 390., 1253., 2087.)
FP(0.90, 0.000600, 389., 630., 1392.)
FP(0.92, 0.000800, 402., 634., 1401.)
FP(0.94, 0.010000, 415., 734., 3096.)
FP(0.96, 0.010000, 443., 856., 3174.)
FP(0.98, 0.008000, 850., 1221., 2972.)
FP(1.02, 0.025000, 1219., 1619., 3008.)
FP(1.06, 0.044000, 1109., 1590., 2934.)
FP(1.08, 0.044000, 1279., 1721., 2887.)
FP(1.10, 0.154000, 952., 1590., 2933.)
FP(1.14, 0.107000, 945., 1434., 3595.)
FP(1.16, 0.082000, 672., 1471., 3677.)
FP(1.20, 0.039000, 579., 1560., 3604.)
FP(1.22, 0.002000, 432., 1605., 2794.)
FP(1.28, 0.000800, 427., 2111., 2711.)
FP(1.30, 0.001000, 425., 2156., 3479.)
FP(1.36, 0.000200, 337., 1686., 3363.)
FP(1.44, 0.002000, 442., 1481., 3575.)
FP(1.46, 0.020000, 596., 1538., 2495.)
FP(1.58, 0.000900, 544., 1438., 2488.)
FP(1.64, 0.000020, 665., 1525., 2736.)
FP(1.66, 0.000600, 632., 1495., 2440.)
FP(1.68, 0.000800, 325., 1354., 1992.)
FP(1.70, 0.003000, 263., 1248., 2014.)
FP(1.74, 0.115000, 353., 1922., 2437.)
FP(1.78, 0.071000, 271., 2108., 2515.)
FP(1.84, 0.016000, 264., 2210., 2696.)
FP(1.86, 0.002000, 243., 2055., 4025.)
FP(1.88, 0.001000, 264., 2149., 2668.)
FP(1.90, 0.001000, 289., 2040., 2709.)
FP(1.92, 0.001000, 191., 2073., 2637.)
FP(1.94, 0.001000, 164., 2436., 2987.)
FP(1.96, 0.000030, 221., 2766., 3864.)
FP(1.98, 0.000010, 239., 1556., 3637.)
FP(2.00, 0.001000, 232., 1112., 3200.)
FP(2.02, 0.007000, 993., 1602., 3029.)
FP(2.04, 0.043000, 382., 1660., 3223.)
FP(2.06, 0.047000, 540., 1573., 2903.)
FP(2.08, 0.097000, 982., 1560., 3267.)
FP(2.10, 0.106000, 985., 1759., 2608.)
FP(2.12, 0.106000, 826., 1216., 2944.)
FP(2.14, 0.051000, 830., 1196., 2791.)
FP(2.20, 0.061000, 874., 1233., 3092.)
FP(2.24, 0.068000, 923., 1392., 2671.)
FP(2.28, 0.074000, 617., 1507., 2455.)
FP(2.30, 0.029000, 883., 1420., 2323.)
FP(2.32, 0.002000, 504., 2089., 3354.)
FP(2.34, 0.001000, 872., 1510., 2535.)
FP(2.36, 0.000200, 919., 1353., 2358.)
FP(2.38, 0.000050, 610., 1573., 2713.)
FP(2.40, 0.000900, 890., 1550., 2643.)
FP(2.42, 0.002000, 833., 2347., 3795.)
FP(2.44, 0.004000, 339., 1916., 2551.)
FP(2.46, 0.005000, 290., 1811., 2491.)
FP(2.48, 0.008000, 328., 1582., 2387.)
FP(2.50, 0.008000, 447., 1479., 2399.)
FP(2.58, 0.002000, 431., 1278., 2390.)
FP(2.60, 0.000400, 256., 1260., 2400.)
FP(2.62, 0.000400, 249., 2423., 3341.)
FP(2.64, 0.005000, 253., 2432., 3309.)
FP(2.66, 0.007000, 366., 2519., 3390.)
FP(2.68, 0.012000, 396., 2060., 2630.)
FP(2.76, 0.013000, 417., 2115., 2570.)
FP(2.78, 0.005000, 394., 2251., 3366.)
FP(2.80, 0.000600, 246., 2143., 2789.)
FP(2.82, 0.000030, 335., 1220., 2126.)
FP(2.84, 0.000009, 196., 1294., 2201.)
FP(2.86, 0.000020, 1063., 2445., 3226.)
FP(2.88, 0.000200, 1402., 3282., 3454.)
FP(2.90, 0.000200, 237., 1457., 3298.)
FP(2.92, 0.000600, 247., 1248., 3450.)
FP(2.94, 0.005000, 293., 1157., 2519.)
FP(2.96, 0.007000, 343., 1258., 2507.)
FP(2.98, 0.013000, 305., 1341., 2454.)
FP(3.02, 0.154000, 492., 2093., 2659.)
FP(3.10, 0.219000, 389., 2292., 2968.)
FP(3.22, 0.213000, 567., 2131., 2848.)
FP(3.24, 0.212000, 471., 2128., 2734.)
FP(3.34, 0.134000, 512., 2160., 2577.)
FP(3.46, 0.012000, 387., 2253., 2566.)
FP(3.54, 0.000100, 347., 1779., 2456.)
FP(3.58, 0.000200, 244., 1509., 2355.)
FP(3.60, 0.000200, 294., 1626., 2329.)
FP(3.62, 0.000080, 745., 1667., 2499.)
FP(3.64, 0.000070, 1460., 2436., 3921.)
FP(3.66, 0.000070, 178., 2381., 4027.)
FP(3.68, 0.000060, 221., 1490., 4212.)
FP(3.70, 0.000030, 103., 2371., 4079.)
FP(3.72, 0.000010, 97., 1769., 3000.)
FP(3.74, 0.000000, 173., 2817., 3727.)
FP(3.76, 0.000000, 500., 1500., 2500.)
FP(4.40, 0.000000, 500., 1500., 2500.)
FP(4.42, 0.000000, 104., 2081., 2718.)
FP(4.44, 0.000001, 246., 2087., 2751.)
FP(4.46, 0.000070, 180., 1337., 2625.)
FP(4.48, 0.002000, 307., 1945., 2619.)
FP(4.50, 0.007000, 327., 1933., 2509.)
FP(4.56, 0.020000, 602., 1328., 2320.)
FP(4.60, 0.016000, 611., 910., 2370.)
FP(4.62, 0.000600, 671., 1281., 2356.)
FP(4.68, 0.000030, 666., 1344., 2247.)
FP(4.70, 0.000300, 973., 2543., 3246.)
FP(4.72, 0.002000, 1033., 2450., 3529.)
FP(4.74, 0.016000, 978., 2366., 2754.)
FP(4.76, 0.067000, 1053., 2055., 2906.)
FP(4.78, 0.067000, 780., 1221., 2265.)
FP(4.80, 0.064000, 595., 1275., 2263.)
FP(4.86, 0.051000, 528., 1232., 1599.)
FP(4.88, 0.010000, 383., 1580., 2140.)
FP(4.90, 0.046000, 516., 1147., 2321.)
FP(4.94, 0.052000, 514., 1026., 2619.)
FP(4.96, 0.018000, 455., 988., 2718.)
FP(4.98, 0.004000, 285., 1009., 2733.)
FP(5.02, 0.001000, 238., 993., 2632.)
FP(5.04, 0.002000, 238., 1037., 2675.)
FP(5.06, 0.013000, 307., 937., 2595.)
FP(5.08, 0.029000, 702., 959., 3357.)
FP(5.10, 0.029000, 826., 1100., 2826.)
FP(5.16, 0.036000, 845., 1759., 2615.)
FP(5.18, 0.020000, 678., 1798., 2625.)
FP(5.20, 0.015000, 715., 1773., 2690.)
FP(5.22, 0.003000, 368., 1773., 2731.)
FP(5.26, 0.007000, 589., 1287., 2720.)
FP(5.30, 0.027000, 861., 1308., 2774.)
FP(5.34, 0.016000, 993., 1357., 2710.)
FP(5.36, 0.018000, 708., 1108., 2815.)
FP(5.40, 0.010000, 859., 1223., 2978.)
FP(5.42, 0.011000, 1060., 1361., 3071.)
FP(5.46, 0.008000, 1112., 1894., 2835.)
FP(5.48, 0.007000, 788., 1969., 2859.)
FP(5.50, 0.010000, 793., 2003., 2724.)
FP(5.52, 0.010000, 573., 2015., 2680.)
FP(5.56, 0.002000, 412., 2246., 2874.)
FP(5.58, 0.000300, 242., 2233., 2823.)
FP(5.60, 0.000070, 233., 950., 2315.)
FP(5.62, 0.000020, 511., 1799., 3170.)
FP(5.64, 0.000080, 542., 1475., 2983.)
FP(5.66, 0.000100, 686., 2956., 3880.)
FP(5.68, 0.000200, 261., 1965., 3839.)
FP(5.74, 0.002000, 387., 1911., 2322.)
FP(5.80, 0.007000, 436., 1464., 2408.)
FP(5.82, 0.008000, 551., 1242., 2338.)
FP(5.84, 0.008000, 560., 1351., 2429.)
FP(5.86, 0.012000, 735., 1298., 2415.)
FP(5.92, 0.005000, 735., 1575., 2556.)
FP(5.94, 0.002000, 678., 1399., 1805.)
FP(5.98, 0.005000, 586., 1479., 2085.)
FP(6.00, 0.013000, 566., 2085., 2797.)
FP(6.04, 0.013000, 515., 2107., 2811.)
FP(6.12, 0.024000, 583., 1692., 2512.)
FP(6.14, 0.016000, 547., 1305., 2461.)
FP(6.16, 0.001000, 531., 1250., 1825.)
FP(6.18, 0.000500, 409., 1130., 2047.)
FP(6.20, 0.000400, 401., 1105., 1997.)
FP(6.22, 0.001000, 373., 1122., 1917.)
FP(6.24, 0.004000, 350., 1464., 1867.)
FP(6.26, 0.004000, 388., 1861., 2298.)
FP(6.28, 0.004000, 518., 1937., 2568.)
FP(6.32, 0.003000, 398., 2052., 2819.)
FP(6.34, 0.003000, 436., 1935., 2805.)
FP(6.36, 0.000200, 239., 2092., 2820.)
FP(6.38, 0.000030, 259., 2110., 2851.)
FP(6.42, 0.000004, 506., 1963., 2521.)
FP(6.44, 0.000005, 519., 1913., 2664.)
