FP(2.93, 42.936146, 245., 1405., 2253.)
FP(2.95, 37.637196, 253., 1120., 3263.)
FP(2.97, 45.996834, 416., 1201., 2425.)
FP(3.01, 53.759502, 309., 1339., 2506.)
FP(3.05, 62.198112, 511., 2152., 2729.)
FP(3.11, 66.064049, 388., 2281., 2943.)
FP(3.24, 66.478737, 593., 2130., 2827.)
FP(3.57, 30.469194, 311., 1659., 2201.)
FP(3.58, 40.243008, 277., 2270., 2591.)
FP(3.59, 41.796345, 248., 1512., 2304.)
FP(3.60, 43.009384, 273., 1506., 3861.)
FP(3.61, 43.364326, 985., 2462., 3558.)
FP(3.62, 41.730186, 395., 1712., 2316.)
FP(3.63, 42.747547, 1473., 2368., 4194.)
FP(3.64, 42.524292, 209., 1602., 2394.)
FP(3.65, 44.021465, 1178., 1561., 4042.)
FP(3.66, 42.656094, 1178., 2388., 3944.)
FP(3.68, 42.356899, 152., 1201., 2362.)
FP(3.69, 41.588356, 1123., 1548., 2608.)
FP(3.70, 39.331356, 232., 1621., 3414.)
FP(3.71, 38.628227, 166., 2547., 3602.)
FP(3.72, 37.754906, 133., 1228., 2418.)
FP(3.73, 32.576508, 121., 1301., 4156.)
FP(3.74, 22.747656, 126., 1847., 3904.)
FP(3.75, 17.311604, 100., 1442., 2328.)
FP(3.76, 14.374989, 179., 2776., 3724.)
FP(3.77, 14.291840, 1216., 2676., 3769.)
FP(3.78, 14.022048, 500., 1500., 2500.)
FP(4.42, 12.904690, 500., 1500., 2500.)
FP(4.43, 12.998950, 253., 2037., 2809.)
FP(4.44, 11.511290, 1293., 2086., 2707.)
FP(4.45, 12.960770, 1446., 1849., 2855.)
FP(4.46, 14.680364, 241., 2039., 2648.)
FP(4.47, 15.244958, 215., 1402., 2210.)
FP(4.48, 18.756538, 657., 1608., 2638.)
FP(4.49, 20.717125, 218., 2180., 2680.)
FP(4.61, 56.275471, 597., 1031., 2410.)
FP(4.62, 51.338348, 844., 1496., 2401.)
FP(4.63, 38.140221, 685., 1678., 2230.)
FP(4.66, 38.639626, 667., 1186., 2172.)
FP(4.67, 31.155920, 405., 1353., 2349.)
