intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.061	874.7	1269.8	2918.3	3801.8	--undefined--
0.061	892.1	1323.8	3034.1	3771.4	--undefined--
0.060	899.8	1478.2	2823.0	3762.2	--undefined--
0.068	935.9	1467.8	2816.8	3815.5	4682.2
0.074	942.2	1510.2	2555.8	3726.8	4837.7
0.074	646.2	1513.9	2447.1	4081.6	4219.2
0.029	914.3	1648.8	2394.3	3989.4	4668.6
0.002	769.0	1933.9	3290.1	4242.2	--undefined--
0.001	885.3	1505.3	2679.0	3927.4	4845.7
0.0002	1017.4	1417.2	2467.1	3794.5	--undefined--
0.00005	825.4	1565.8	2787.2	4072.2	--undefined--
0.0009	905.7	1532.9	2846.9	4113.0	--undefined--
0.002	1188.8	2394.4	3767.6	4620.5	--undefined--
0.004	383.2	1935.4	2698.7	4177.0	5211.4
0.005	257.0	1845.1	2499.8	3836.1	--undefined--
0.008	1564.3	2437.0	3563.4	4508.2	--undefined--
0.008	1190.4	2225.4	3173.9	3856.9	--undefined--
0.006	578.8	1336.4	2501.1	3600.5	4897.9
0.003	556.9	1302.8	2492.9	3512.2	4993.8
0.003	560.8	1298.4	2462.7	3457.3	5118.8
0.002	432.2	1189.2	2395.2	3456.9	5067.5
0.0004	228.6	1343.1	2413.0	3620.6	4637.2
0.0004	228.9	1377.6	2439.6	3485.5	4589.0
0.005	1326.6	2426.9	3325.5	4001.3	--undefined--
0.007	476.3	2260.8	2430.4	3426.1	4236.2
0.012	460.7	2083.4	2685.6	3545.8	4538.9
0.017	446.1	2202.1	2893.8	3606.3	4469.1
0.017	450.0	2190.5	2929.2	3609.8	4470.0
0.014	451.7	2184.1	2970.3	3569.5	4597.0
0.013	453.4	2179.7	2758.4	3470.2	4290.6
0.005	490.9	2142.9	2155.5	3391.7	4207.4
0.0006	313.5	2159.8	2987.9	3495.8	--undefined--
0.00003	889.1	2148.8	3376.3	3991.5	--undefined--
0.000009	1236.7	2075.0	3425.8	4158.3	--undefined--
0.00002	1308.1	2420.9	3384.5	3909.6	--undefined--
0.0002	1473.1	2675.1	3386.6	4390.3	--undefined--
0.0002	1529.9	3279.8	3307.7	4063.6	--undefined--
0.0006	1164.6	2665.3	3307.7	4651.4	--undefined--
0.005	1145.8	2560.9	3670.4	4681.8	--undefined--
0.007	54.4	1249.3	2532.9	3477.5	4332.9
0.013	1321.6	2460.4	3381.3	4286.8	--undefined--
0.051	365.4	1647.0	2622.2	3429.7	4994.0
0.154	654.6	2072.3	2663.5	3651.0	--undefined--
0.154	672.4	2173.5	2825.3	3688.4	--undefined--
0.170	744.8	2219.7	2858.4	3734.1	--undefined--
0.182	514.6	2223.2	2893.3	3727.3	--undefined--
0.219	465.0	2257.5	2951.0	3909.6	--undefined--
0.232	1171.6	2270.1	2977.8	3970.2	--undefined--
0.251	520.3	2187.5	2732.4	3625.8	4616.8
0.311	555.2	2106.2	2728.1	3641.2	4339.8
0.311	585.2	2116.8	2800.2	3992.5	4279.9
0.253	636.8	2131.6	2868.6	3306.8	4260.5
0.213	680.9	2132.8	2899.2	3257.3	4321.8
0.212	689.9	2128.5	2862.8	3467.7	4304.6
0.203	675.5	2112.1	2714.4	3431.0	4287.7
0.175	653.1	2095.5	2596.1	3537.5	4282.3
0.118	625.6	2080.5	2541.8	3294.5	4374.5
0.134	642.0	2234.8	2715.0	3029.0	4167.9
0.134	601.6	2154.3	2578.2	3407.5	4258.4
0.080	613.4	2243.0	2738.3	3727.2	4669.4
0.068	548.9	2268.6	2736.4	3573.0	5177.2
0.048	547.8	2284.3	2660.6	3665.9	5411.0
0.039	532.4	2277.3	2677.0	3774.7	--undefined--
0.021	528.5	2267.0	2681.2	3816.2	--undefined--
0.012	470.2	2280.7	2586.9	3811.0	--undefined--
0.005	465.9	2185.5	2636.2	3765.4	--undefined--
0.003	447.8	2071.6	2496.5	3686.3	5433.5
0.0008	385.0	1934.9	2478.3	3667.8	5164.9
0.0001	320.6	1948.6	2512.2	4014.2	5091.2
0.0001	1831.6	2381.9	4188.9	5036.1	--undefined--
0.0002	1612.2	2449.7	4066.7	4953.4	--undefined--
0.0002	1706.5	2342.3	4144.8	5170.9	--undefined--
0.00008	1669.2	2449.3	3980.3	5175.3	--undefined--
0.00007	2123.4	4011.5	4907.7	--undefined--	--undefined--
0.00007	2285.5	3825.9	4500.9	5206.5	--undefined--
0.00006	238.7	2226.5	4008.4	4641.5	5255.4
0.00003	765.2	2907.5	4289.5	5130.5	--undefined--
0.00001	1936.8	3918.9	4793.3	--undefined--	--undefined--
0.0000002	1565.4	2575.5	4394.0	--undefined--	--undefined--
0.0000001	1301.1	2237.3	4294.2	5008.6	--undefined--
0.00000005	1107.2	2184.0	2949.4	--undefined--	--undefined--
0.00000002	1045.8	2081.2	3083.2	4078.5	--undefined--
0.00000002	1103.4	2084.6	3084.4	4259.3	--undefined--
0.00000002	1173.2	2177.9	3015.6	4227.8	--undefined--
0.00000002	1194.9	2320.0	2863.4	3885.5	--undefined--
0.00000002	1100.5	2042.3	3038.3	4323.6	--undefined--
0.00000002	1071.8	2243.1	3070.3	--undefined--	--undefined--
0.00000002	1107.9	2049.5	2955.7	4421.2	--undefined--
0.00000002	1118.9	2272.9	2791.0	3819.9	--undefined--
0.00000001	1416.6	2239.9	3275.0	--undefined--	--undefined--
0.00000001	1137.3	1828.8	2834.3	4430.0	--undefined--
0.00000001	1055.7	1795.8	2667.8	4366.7	--undefined--
0.00000001	1339.0	1876.5	2797.8	3940.4	--undefined--
0.00000001	1035.6	1858.4	3055.7	4310.4	--undefined--
0.00000001	1165.9	1965.7	2770.8	3895.2	--undefined--
0.00000001	962.4	1892.2	2962.1	4299.7	--undefined--
0.00000001	1084.0	2210.6	3428.6	3508.7	--undefined--
0.000000010	1195.7	2081.0	3054.9	4182.4	--undefined--
0.000000010	1201.1	2131.6	3052.0	4127.3	--undefined--
0.000000009	907.4	1885.4	2771.6	4134.5	--undefined--
0.000000009	1331.9	2114.2	3175.3	--undefined--	--undefined--
0.000000008	1288.5	1905.4	2850.1	4289.2	--undefined--
0.000000008	1081.2	1970.4	2920.2	4074.5	--undefined--
0.000000008	1111.7	1772.6	2830.5	4298.0	--undefined--
0.000000007	876.7	1942.7	2998.9	4068.7	--undefined--
0.000000007	1251.8	1990.7	2857.0	4136.9	--undefined--
0.000000006	1155.2	1965.5	2446.2	3793.6	--undefined--
0.000000006	1113.6	2311.1	2536.8	3646.4	--undefined--
0.000000006	1249.7	2379.1	3155.3	3233.2	--undefined--
0.000000006	1146.2	1946.2	2812.2	4020.1	--undefined--
0.00000001	1084.2	2223.6	3193.3	3918.9	--undefined--
0.00000008	1252.4	1633.1	2526.2	3566.0	--undefined--
0.0000003	1403.3	2206.0	3062.5	3671.1	--undefined--
0.000001	1065.2	2106.1	3029.9	3684.0	--undefined--
0.00007	1407.9	1722.6	2696.3	3933.4	--undefined--
0.002	318.0	1983.7	2714.8	3346.2	4319.5
0.007	370.7	1937.4	2533.0	3243.1	4087.3
0.020	421.0	1788.0	2424.2	3323.0	4109.9
0.020	515.2	1629.3	2296.8	3455.0	3749.7
0.020	628.8	1333.8	2360.8	3501.3	4108.8
0.020	686.4	1189.0	2367.0	3367.9	4039.4
0.016	694.4	1112.6	2255.7	3457.6	4548.3
0.0006	676.3	1272.8	2423.4	3421.8	4452.7
0.0006	682.0	1273.7	2459.2	3563.6	4645.8
0.00009	767.4	1475.5	2487.1	3546.5	--undefined--
0.00003	681.4	1365.8	2724.7	3444.3	4609.2
0.0003	1023.9	1876.0	2987.5	4238.6	--undefined--
0.002	703.4	1017.3	2441.8	3570.9	4632.4
0.016	586.0	982.9	2427.8	3537.4	4814.3
0.067	739.8	1111.6	2312.2	3595.2	--undefined--
0.067	832.7	1242.8	2265.3	3466.8	--undefined--
0.064	690.6	1302.7	2202.0	3142.5	3604.4
0.064	710.3	1378.8	2052.7	3098.1	3853.4
0.064	646.9	1487.9	1849.6	2845.5	--undefined--
0.051	642.3	1400.8	1601.3	2989.3	4723.8
0.010	550.3	1514.2	1908.6	2981.1	4745.5
0.046	637.1	1430.5	2021.0	2787.2	4561.1
0.052	618.7	1267.5	2006.5	2746.0	4668.0
0.052	563.7	1036.8	2590.8	3330.3	4557.8
0.018	935.4	985.8	2833.9	3203.3	--undefined--
0.004	996.7	1221.2	2721.6	3755.5	--undefined--
0.001	953.8	1406.0	2601.4	3714.9	--undefined--
0.001	1004.9	2620.4	3490.9	3807.4	--undefined--
0.002	224.5	1108.6	2643.1	3271.9	3861.2
0.013	526.4	1003.7	2487.3	3219.8	3835.2
0.029	707.3	973.3	2776.1	3334.3	3681.3
0.029	819.5	1098.9	2944.2	3065.4	3685.4
0.035	854.9	1289.2	2809.5	3632.3	3648.0
0.036	861.3	1401.1	2564.1	3499.2	4617.8
0.036	821.7	1646.2	2629.6	3685.3	3974.6
0.020	678.3	1786.5	2612.7	3324.8	4183.8
0.015	678.4	1749.5	2930.1	3040.4	4100.0
0.003	618.5	1674.7	2651.2	2971.9	4231.0
0.006	573.4	1264.4	2734.3	3382.5	4120.9
0.007	578.8	1234.9	2717.8	3438.3	4030.4
0.023	682.2	1234.1	3241.0	3306.2	4001.9
0.027	852.0	1282.2	2800.2	3877.2	--undefined--
0.027	876.3	1293.6	2693.0	4018.7	--undefined--
0.016	887.6	1289.6	2701.4	3801.4	--undefined--
0.018	995.0	1255.0	2901.5	3805.2	--undefined--
0.018	1008.9	1267.9	2827.2	3649.0	5027.9
0.010	1037.6	1276.3	2917.3	3743.5	--undefined--
0.011	1082.4	1538.9	2857.1	3568.2	--undefined--
0.011	1026.5	1463.3	2761.7	3257.8	4754.9
0.008	1024.7	1684.1	2856.9	3690.2	4374.8
0.007	842.1	1907.5	2964.6	3507.6	4636.4
0.010	785.2	1992.7	2790.1	3366.2	4612.8
0.010	598.9	1735.4	2661.4	3430.5	4802.6
0.003	500.5	2284.5	2647.3	3665.6	4734.6
0.002	438.5	2146.2	2745.4	4374.4	--undefined--
0.0003	702.2	2295.4	2900.2	4316.8	--undefined--
0.00007	634.4	2351.7	3419.4	3970.0	--undefined--
0.00002	503.3	2240.6	3221.2	4206.9	--undefined--
0.00008	573.2	2203.5	2854.5	3900.8	4722.4
0.0001	684.7	2159.4	2770.0	3884.3	4872.7
0.0002	274.6	2080.8	2703.9	3847.3	4747.2
0.0010	323.7	1999.0	2493.2	3543.3	4654.2
0.002	368.9	2000.3	2457.6	3601.6	4096.5
0.002	396.6	1931.8	2383.9	3562.8	4517.8
0.003	406.2	1694.5	2295.2	3566.9	4481.4
0.003	420.8	1476.0	2391.6	3776.8	4236.5
0.007	541.1	1452.3	2357.5	3779.4	4245.4
0.008	721.8	1333.2	2266.5	3826.3	4175.4
0.008	853.6	1306.0	2397.8	3861.5	3962.6
0.012	749.2	1308.2	2408.8	3789.0	4629.4
0.012	762.7	1304.3	2340.7	3725.0	4229.7
0.011	817.3	1380.9	2454.2	3787.8	--undefined--
0.005	801.9	1581.4	2531.4	3752.0	--undefined--
0.002	822.4	1700.3	2690.0	3764.8	4232.0
0.002	687.9	1898.6	2687.3	4067.1	4414.4
0.005	670.1	2034.3	2787.7	4103.4	--undefined--
0.013	610.5	2056.9	2766.8	3872.2	4949.1
0.013	651.9	2050.5	2825.3	3742.3	4179.2
0.013	582.2	2089.6	2855.8	4322.8	--undefined--
0.026	542.6	1984.5	2875.7	3726.7	4412.8
0.026	565.8	1772.8	2729.3	3947.9	5130.0
0.024	598.4	1657.7	2590.6	3331.5	4561.6
0.024	669.8	1646.9	2497.8	3344.2	4479.1
0.016	726.3	1337.5	2440.8	3602.7	5333.0
0.001	644.2	1445.9	2392.3	3746.2	5038.7
0.0005	987.6	2037.8	3200.1	4549.4	--undefined--
0.0004	1021.3	1260.2	2286.9	3915.9	--undefined--
0.001	1066.0	1953.2	2796.8	4024.0	--undefined--
0.004	1574.6	1818.2	2506.0	4221.5	--undefined--
0.004	541.9	2009.2	2076.6	2687.8	4702.0
0.004	534.5	1930.5	2566.2	2732.1	4467.9
0.004	573.5	2138.2	2682.8	2834.9	4650.6
0.003	482.1	2075.6	2674.7	4484.4	--undefined--
0.003	478.2	1957.3	2645.4	4203.5	--undefined--
0.0002	280.3	2082.4	2814.2	4405.7	--undefined--
0.00003	357.4	2075.7	2769.8	4243.8	--undefined--
0.00001	416.5	2120.6	2785.3	4324.6	--undefined--
0.000004	503.4	2041.7	2787.0	4209.1	--undefined--
0.000005	534.6	1961.5	2952.1	3937.9	4997.8
0.00004	585.2	2105.0	2978.5	3823.1	4957.6
0.0002	322.3	1872.9	2872.8	4256.4	4974.7
0.003	420.6	2060.2	2696.2	4052.6	--undefined--
0.010	400.5	2016.5	2703.3	3898.9	4215.2
0.010	391.8	2068.2	2711.9	3924.8	4294.1
0.013	421.9	2125.0	2693.9	3853.8	4291.2
0.013	448.5	2127.2	2656.1	3850.5	4295.5
0.014	443.3	2179.6	2668.2	3866.6	4247.2
0.014	448.9	2183.5	2662.2	3860.0	4249.5
0.016	393.4	2244.6	2695.0	3859.6	4306.2
0.016	390.7	2235.3	2679.6	3809.3	4288.4
0.008	372.4	2247.0	2611.7	3757.1	4432.1
0.002	357.2	2249.9	2566.4	3788.8	4140.9
0.0001	365.0	2103.7	2354.1	3794.5	4338.6
0.00004	1086.5	2253.8	3290.9	3760.3	--undefined--
0.0000004	711.6	2007.3	2981.0	3700.1	--undefined--
0.0000003	511.2	1711.2	2683.2	3715.1	--undefined--
0.0000004	571.2	2096.2	2708.5	3652.8	--undefined--
0.000001	970.5	1782.6	2987.1	3828.0	--undefined--
0.00003	706.5	1426.5	2621.9	3748.1	--undefined--
